0	type3						
	bri	car	fra	perm	por	1st	ofm
count	6753	6753	6753	6753	6753	6753	6753
mean	0.126786	9.472235	1.29767	1.882322	4.509628	0.036152	5.45654
std	0.087225	8.672758	0.965279	2.202462	2.410807	0.147668	4.454107
min	-0.051426	-3.235556	-1.824614	-0.999298	-0.561766	-0.276844	-1.324509
25%	0.062675	1.83012	0.827542	1.002968	2.590244	-0.087862	1.445494
50%	0.107178	10.617839	1.271656	1.307329	4.404167	0.032721	5.816521
75%	0.158127	14.283981	1.854384	1.709557	6.29278	0.151844	8.029698
max	0.531597	42.744457	4.105214	31.023653	9.502075	0.423937	22.678644
1	type2						
	bri	car	fra	perm	por	1st	ofm
count	3774	3774	3774	3774	3774	3774	3774
mean	0.418703	45.443594	3.253725	7.976112	7.149447	0.54468	25.210112
std	0.123036	13.329719	1.06211	8.631492	1.857624	0.134549	7.387001
min	0.121092	0.27232	0.646513	0.195294	2.167609	0.196713	3.287707
25%	0.329477	36.357028	2.548414	3.125515	6.056099	0.443971	20.219915
50%	0.433681	46.404376	3.431075	4.946457	7.270538	0.541381	25.49269
75%	0.500927	51.767348	4.190924	7.93532	7.835973	0.648713	28.420009
max	0.66248	94.046761	4.631469	45.400822	14.067305	0.894205	55.875161
2	type4						
	bri	car	fra	perm	por	1st	ofm
count	5741	5741	5741	5741	5741	5741	5741
mean	-0.115225	-0.323725	-2.007553	-1.154521	-1.124952	-0.531265	-0.698321
std	0.098289	2.84547	0.67766	1.106955	1.701276	0.134429	1.673317
min	-0.277498	-4.459902	-3.095467	-2.929238	-3.707664	-0.734488	-2.995477
25%	-0.196827	-1.207631	-2.406626	-2.086735	-2.580153	-0.64862	-1.493356
50%	-0.137898	-1	-2.150993	-1.343117	-1.41475	-0.564838	-1.286888
75%	-0.03398	-0.482193	-1.834627	-0.449248	-0.002756	-0.422698	-0.544035
max	0.219634	12.113553	1.045402	1.449914	3.862991	-0.21591	6.245113
3	type1						
	bri	car	fra	perm	por	1st	ofm
count	1003	1003	1003	1003	1003	1003	1003
mean	0.523051	57.44362	2.727334	73.930737	9.076091	0.747992	50.204436
std	0.104845	25.550939	0.913901	25.337575	1.504648	0.152476	15.688558
min	0.271553	15.421207	1.372472	34.49794	5.848728	0.379172	21.622416
25%	0.440516	38.317173	1.909485	53.036131	8.380756	0.645329	37.824366
50%	0.53684	51.279069	2.733252	66.728015	9.016052	0.749257	47.030255
75%	0.618819	74.428238	3.337111	100.539907	9.611955	0.850517	59.785551
max	0.663226	107.453461	4.566206	120.461554	14.085666	1.131325	87.315257
